Married,Years_Together,First_Together,End_Year,Religious_Attendance,Interracial_Couple,Age_Diff,Age,P_Age,Education,P_Education,Gender,Household_Income,Ethnicity,P_Ethnicity,Politics,P_Politics,White ,Black or African American ,American Indian or Alaska Native ,Asian Indian ,Chinese ,Filipino ,Japanese ,Korean ,Vietnamese ,Other Asian ,Hawaiian ,Guamanian ,Samoan ,Other Pacific Islander ,Some other race ,R_cowork,R_friend,R_family,R_sig_other,R_neighbor,P_cowork,P_friend,P_family,P_sig_other,P_neighbor,btwn_I_cowork,btwn_I_friend,btwn_I_family,btwn_I_sig_other,btwn_I_neighbor,school,college,mil,church,vol_org,customer,bar_restaurant,party,internet_other,internet_dating,internet_soc_network,internet_game,internet_chat,internet_org,public,blind_date,vacation,single_serve_nonint,business_trip,work_neighbors,met_online
"Yes, I am Married",56.0,1961.0,,Once a week,no,4.0,78,74.0,Some college,HS graduate or GED,Male,"$40,000 to $49,999","White, Non-Hispanic",White,Leans Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",14.0,2003.0,,A few times a year,no,1.0,31,32.0,High school,"Some college, no degree",Male,"$85,000 to $99,999","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,Once a year or less,no,1.0,47,46.0,Bachelor's degree or higher,"Some college, no degree",Female,"$200,000 to $249,999","White, Non-Hispanic",White,Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",43.0,1974.0,,Never,no,4.0,65,61.0,Some college,Bachelors degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",17.0,2000.0,,Once or twice a month,no,3.0,40,43.0,Bachelor's degree or higher,Masters degree,Male,"$175,000 to $199,999",Hispanic,White,Not Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
"Yes, I am Married",17.0,2000.0,,Once a year or less,no,1.0,38,37.0,High school,Associate degree,Female,"$75,000 to $84,999","White, Non-Hispanic",White,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",13.0,2004.0,,A few times a year,no,1.0,51,52.0,Bachelor's degree or higher,HS graduate or GED,Female,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"Yes, I am Married",24.0,1993.0,,Never,yes,6.0,47,53.0,Some college,Associate degree,Male,"$200,000 to $249,999","2+ Races, Non-Hispanic",Asian or Pacific Islander,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"No, I am not Married",37.0,1978.0,2015.0,A few times a year,no,11.0,64,75.0,Some college,"Some college, no degree",Female,"$12,500 to $14,999","White, Non-Hispanic",White,Not Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",51.0,1966.0,,Once a year or less,no,1.0,75,74.0,Some college,"Some college, no degree",Male,"$40,000 to $49,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",23.0,1994.0,,A few times a year,no,2.0,64,62.0,Some college,HS graduate or GED,Female,"$35,000 to $39,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Undecided/Independent/Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",65.0,1952.0,,Once or twice a month,no,3.0,80,77.0,High school,HS graduate or GED,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",22.0,1987.0,2009.0,Once a year or less,yes,7.0,61,68.0,Bachelor's degree or higher,Bachelors degree,Female,"$150,000 to $174,999","White, Non-Hispanic",Other (please specify),Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",59.0,1958.0,,Once a year or less,no,4.0,68,72.0,High school,"Some college, no degree",Female,"$50,000 to $59,999","White, Non-Hispanic",White,Not Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",2.0,2015.0,,Never,no,2.0,22,20.0,Some college,Associate degree,Male,"$15,000 to $19,999","White, Non-Hispanic",White,Leans Democrat,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",53.0,1964.0,,Never,no,3.0,74,71.0,Bachelor's degree or higher,"Some college, no degree",Male,"$200,000 to $249,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",31.0,1986.0,,Once a week,no,0.0,60,60.0,Bachelor's degree or higher,Bachelors degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",16.0,2001.0,,Never,no,0.0,49,49.0,Bachelor's degree or higher,Masters degree,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",41.0,1976.0,,Never,no,1.0,64,65.0,Bachelor's degree or higher,Masters degree,Female,"$60,000 to $74,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",1.0,2016.0,,More than once a week,no,0.0,18,18.0,Less than high school,HS graduate or GED,Male,"$40,000 to $49,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",1.0,2016.0,,Once a year or less,no,3.0,63,60.0,Some college,HS graduate or GED,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Strong Republican,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
"No, I am not Married",14.0,2003.0,,A few times a year,yes,12.0,50,38.0,Some college,Associate degree,Female,"$7,500 to $9,999",Hispanic,White,Strong Democrat,Strong Democrat,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",37.0,1980.0,,Never,no,14.0,69,55.0,Bachelor's degree or higher,HS graduate or GED,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",39.0,1978.0,,Once or twice a month,no,0.0,55,55.0,Bachelor's degree or higher,Bachelors degree,Female,"$250,000 or more","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",57.0,1960.0,,Once a year or less,no,2.0,81,79.0,Less than high school,"Some college, no degree",Male,"$60,000 to $74,999",Hispanic,White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
"No, I am not Married",21.0,1996.0,,Never,no,3.0,65,68.0,Bachelor's degree or higher,Bachelors degree,Female,"$60,000 to $74,999","White, Non-Hispanic",White,Not Strong Democrat,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no
"No, I am not Married",4.0,2013.0,,Never,yes,21.0,55,34.0,Some college,HS graduate or GED,Male,"$60,000 to $74,999","White, Non-Hispanic",Other (please specify),Strong Democrat,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",54.0,1963.0,,Never,no,2.0,71,69.0,Bachelor's degree or higher,"Some college, no degree",Male,"$75,000 to $84,999","White, Non-Hispanic",White,Leans Republican,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",20.0,1997.0,,Once a year or less,no,9.0,51,42.0,Some college,"Some college, no degree",Female,"$50,000 to $59,999","White, Non-Hispanic",White,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",34.0,1983.0,,A few times a year,no,2.0,55,57.0,High school,Bachelors degree,Female,"$175,000 to $199,999","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
"No, I am not Married",4.0,2013.0,,Once a year or less,no,19.0,35,54.0,Some college,HS graduate or GED,Female,"$12,500 to $14,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
"Yes, I am Married",26.0,1991.0,,Once a year or less,no,6.0,58,52.0,Bachelor's degree or higher,"Some college, no degree",Female,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",54.0,1963.0,,More than once a week,no,3.0,72,75.0,Some college,"Some college, no degree",Female,"$85,000 to $99,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",11.0,2006.0,,Never,yes,3.0,30,33.0,Bachelor's degree or higher,Associate degree,Female,"$60,000 to $74,999",Hispanic,Black or African American,Leans Democrat,Undecided/Independent/Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",28.0,1989.0,,A few times a year,no,4.0,55,51.0,Some college,Associate degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",17.0,2000.0,,A few times a year,no,3.0,56,53.0,High school,Bachelors degree,Male,"$150,000 to $174,999","White, Non-Hispanic",White,Not Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",31.0,1986.0,,A few times a year,no,4.0,54,58.0,High school,HS graduate or GED,Female,"$50,000 to $59,999","White, Non-Hispanic",White,Not Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",34.0,1983.0,,Once a year or less,no,3.0,70,73.0,High school,HS graduate or GED,Female,"$40,000 to $49,999","White, Non-Hispanic",White,Strong Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",42.0,1975.0,,Never,no,3.0,68,65.0,Some college,"Some college, no degree",Male,"$60,000 to $74,999","Other, Non-Hispanic","American Indian, Aleut, or Eskimo",Not Strong Republican,Leans Democrat,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",35.0,1982.0,,Once a year or less,no,2.0,52,50.0,Less than high school,Associate degree,Female,"$5,000 to $7,499","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",14.0,2003.0,,A few times a year,no,1.0,35,34.0,Some college,Bachelors degree,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",51.0,1966.0,,Once or twice a month,no,0.0,81,81.0,Bachelor's degree or higher,HS graduate or GED,Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",1.0,2016.0,,Never,no,6.0,36,42.0,Some college,HS graduate or GED,Male,"$60,000 to $74,999",Hispanic,White,Leans Democrat,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",17.0,2000.0,,Once a week,yes,2.0,36,38.0,Some college,"Some college, no degree",Female,"$75,000 to $84,999","White, Non-Hispanic",Other (please specify),Not Strong Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",5.0,2012.0,,Once a year or less,no,5.0,40,45.0,Bachelor's degree or higher,HS graduate or GED,Male,"$50,000 to $59,999","White, Non-Hispanic",White,Leans Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",50.0,1964.0,2014.0,More than once a week,no,5.0,79,74.0,Some college,"Some college, no degree",Male,"$150,000 to $174,999","White, Non-Hispanic",White,Leans Democrat,Not Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
"No, I am not Married",6.0,2011.0,,Once or twice a month,no,12.0,37,49.0,Less than high school,11th grade,Female,"Less than $5,000","Black, Non-Hispanic",Black or African American,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",2.0,2015.0,,A few times a year,no,10.0,69,79.0,Some college,Masters degree,Male,"$50,000 to $59,999","Black, Non-Hispanic",Black or African American,Leans Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",33.0,1984.0,,A few times a year,yes,6.0,73,79.0,Some college,Bachelors degree,Female,"$35,000 to $39,999","Black, Non-Hispanic",White,Strong Democrat,Strong Democrat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",19.0,1998.0,,A few times a year,no,10.0,70,60.0,Some college,"Some college, no degree",Male,"$85,000 to $99,999","White, Non-Hispanic",White,Leans Republican,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",15.0,2002.0,,Once a year or less,yes,4.0,34,38.0,High school,"Some college, no degree",Female,"$15,000 to $19,999","White, Non-Hispanic",Black or African American,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",14.0,2003.0,,Never,no,10.0,44,34.0,Some college,"Some college, no degree",Male,"$85,000 to $99,999","White, Non-Hispanic",White,Leans Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",37.0,1980.0,,A few times a year,no,0.0,58,58.0,Less than high school,HS graduate or GED,Male,"$15,000 to $19,999","White, Non-Hispanic",White,Not Strong Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",37.0,1980.0,,Never,,1.0,41,40.0,Bachelor's degree or higher,Associate degree,Male,"$40,000 to $49,999","Other, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",36.0,1981.0,,Never,no,6.0,53,59.0,High school,"Some college, no degree",Female,"$60,000 to $74,999","White, Non-Hispanic",White,Not Strong Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",23.0,1994.0,,Once a year or less,no,0.0,39,39.0,Some college,12th grade no diploma,Female,"$30,000 to $34,999","Black, Non-Hispanic",Black or African American,Strong Democrat,Undecided/Independent/Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",9.0,2008.0,,Never,no,13.0,37,50.0,Bachelor's degree or higher,HS graduate or GED,Female,"$40,000 to $49,999","White, Non-Hispanic",White,Leans Democrat,Leans Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",52.0,1965.0,,Never,no,0.0,63,63.0,Bachelor's degree or higher,Bachelors degree,Male,"$250,000 or more","White, Non-Hispanic",White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"No, I am not Married",0.0,2017.0,,Once a year or less,no,2.0,27,29.0,Bachelor's degree or higher,Bachelors degree,Male,"$175,000 to $199,999","White, Non-Hispanic",White,Leans Republican,Leans Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
"Yes, I am Married",13.0,2004.0,,More than once a week,no,0.0,33,33.0,Bachelor's degree or higher,Bachelors degree,Male,"$40,000 to $49,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",38.0,1979.0,,Once or twice a month,no,7.0,75,68.0,Some college,"Some college, no degree",Male,"$75,000 to $84,999","White, Non-Hispanic",White,Leans Republican,Not Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",11.0,2006.0,,A few times a year,yes,1.0,28,29.0,Some college,"Some college, no degree",Female,"$10,000 to $12,499","White, Non-Hispanic",Other (please specify),Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",30.0,1987.0,,A few times a year,no,0.0,60,60.0,High school,HS graduate or GED,Male,"$50,000 to $59,999",Hispanic,White,Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",15.0,2002.0,,Never,no,9.0,49,40.0,High school,"Some college, no degree",Male,"$100,000 to $124,999","White, Non-Hispanic",White,Strong Democrat,Strong Democrat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",64.0,1953.0,,Once a year or less,yes,0.0,80,80.0,Some college,"Some college, no degree",Male,"$50,000 to $59,999","White, Non-Hispanic",White,Leans Republican,Not Strong Republican,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
"Yes, I am Married",62.0,1955.0,,Once a week,no,0.0,81,81.0,Some college,HS graduate or GED,Female,"$35,000 to $39,999","White, Non-Hispanic",White,Not Strong Republican,Strong Republican,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
"Yes, I am Married",18.0,1999.0,,Once a year or less,no,2.0,64,66.0,Some college,Professional or Doctorate degree,Male,"$25,000 to $29,999","White, Non-Hispanic",White,Leans Republican,Undecided/Independent/Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
